customer_id,article_id,rating,purchase_year,purchase_month
196,242,3,1997,12
186,302,3,1998,4
22,377,1,1997,11
244,51,2,1997,11
166,346,1,1998,2
298,474,4,1998,1
115,265,2,1997,12
253,465,5,1998,4
305,451,3,1998,2
6,86,3,1997,12
62,257,2,1997,11
286,1014,5,1997,11
200,222,5,1997,10
210,40,3,1998,3
224,29,3,1998,2
303,785,3,1997,11
122,387,5,1997,11
194,274,2,1997,11
291,1042,4,1997,9
234,1184,2,1998,4
119,392,4,1998,1
167,486,4,1998,4
299,144,4,1997,10
291,118,2,1997,9
308,1,4,1998,2
95,546,2,1997,11
38,95,5,1998,4
102,768,2,1998,1
63,277,4,1997,10
160,234,5,1997,10
50,246,3,1997,10
301,98,4,1997,12
225,193,4,1997,11
290,88,4,1997,11
97,194,3,1998,1
157,274,4,1998,2
181,1081,1,1997,11
278,603,5,1998,3
276,796,1,1997,9
7,32,4,1998,3
10,16,4,1997,10
284,304,4,1998,1
201,979,2,1998,1
276,564,3,1997,9
287,327,5,1997,9
246,201,5,1998,1
242,1137,5,1997,11
249,241,5,1997,11
99,4,5,1998,2
178,332,3,1997,12
251,100,4,1998,1
81,432,2,1997,10
260,322,4,1998,3
25,181,5,1998,1
59,196,5,1998,2
72,679,2,1997,11
87,384,4,1997,11
290,143,5,1997,11
42,423,5,1997,12
292,515,4,1997,12
115,20,3,1997,12
20,288,1,1997,11
201,219,4,1998,1
13,526,3,1997,12
246,919,4,1998,1
138,26,5,1997,11
167,232,1,1998,4
60,427,5,1997,12
57,304,5,1998,1
223,274,4,1998,4
189,512,4,1998,4
243,15,3,1997,11
92,1049,1,1998,3
246,416,3,1998,1
194,165,4,1997,11
241,690,2,1998,2
178,248,4,1997,12
254,1444,3,1998,2
293,5,3,1998,3
127,229,5,1998,1
225,237,5,1997,11
299,229,3,1997,10
225,480,5,1997,11
276,54,3,1997,9
291,144,5,1997,9
222,366,4,1997,10
267,518,5,1997,11
42,403,3,1997,12
11,111,4,1998,4
95,625,4,1998,3
8,338,4,1997,11
162,25,4,1997,10
87,1016,4,1997,11
279,154,5,1997,9
145,275,2,1998,1
119,1153,5,1997,9
62,498,4,1997,11
62,382,3,1997,11
28,209,4,1997,12
135,23,4,1997,11
32,294,3,1998,1
90,382,5,1998,3
286,208,4,1997,10
293,685,3,1998,3
216,144,4,1997,11
166,328,5,1998,2
250,496,4,1997,10
271,132,5,1998,1
160,174,5,1997,10
265,118,4,1997,9
198,498,3,1998,1
42,96,5,1997,12
168,151,5,1998,1
110,307,4,1998,2
58,144,4,1998,1
90,648,4,1998,3
271,346,4,1998,1
62,21,3,1997,11
279,832,3,1997,12
237,514,4,1997,11
94,789,4,1998,4
128,485,3,1997,11
298,317,4,1998,1
44,195,5,1997,11
264,200,5,1998,1
194,385,2,1997,11
72,195,5,1997,11
222,750,5,1998,1
250,264,3,1997,10
41,265,3,1998,3
224,245,3,1998,2
82,135,3,1997,11
262,1147,4,1997,11
293,471,3,1998,3
216,658,3,1997,11
250,140,3,1997,10
59,23,5,1998,2
286,379,5,1997,10
244,815,4,1997,11
7,479,4,1998,3
174,368,1,1998,2
87,274,4,1997,11
194,1211,2,1997,11
82,1134,2,1998,1
13,836,2,1997,12
13,272,4,1998,1
244,756,2,1997,11
305,427,5,1998,2
95,787,2,1998,3
43,14,2,1998,1
299,955,4,1998,3
57,419,3,1998,1
84,405,3,1997,12
269,504,4,1998,4
299,111,3,1997,10
194,466,4,1997,11
160,135,4,1997,10
99,268,3,1998,1
10,486,4,1997,10
259,117,4,1997,9
85,427,3,1997,11
303,919,4,1997,11
213,273,5,1997,11
121,514,3,1998,3
90,98,5,1998,3
49,559,2,1998,2
42,794,3,1997,12
155,323,2,1997,11
68,117,4,1997,10
172,177,4,1997,9
19,4,4,1998,1
268,231,4,1997,10
5,2,3,1997,9
305,117,2,1998,2
