customer_id,item_id,item_display_name,predicted_rating
196,1,Toy Story (1995),3.5319
196,2,GoldenEye (1995),3.5319
196,3,Four Rooms (1995),3.5319
196,4,Get Shorty (1995),3.5319
196,5,Copycat (1995),3.5319
196,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
196,7,Twelve Monkeys (1995),3.5319
196,8,Babe (1995),3.5319
196,9,Dead Man Walking (1995),3.5319
196,10,Richard III (1995),3.5319
186,1,Toy Story (1995),3.5319
186,2,GoldenEye (1995),3.5319
186,3,Four Rooms (1995),3.5319
186,4,Get Shorty (1995),3.5319
186,5,Copycat (1995),3.5319
186,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
186,7,Twelve Monkeys (1995),3.5319
186,8,Babe (1995),3.5319
186,9,Dead Man Walking (1995),3.5319
186,10,Richard III (1995),3.5319
22,1,Toy Story (1995),3.5319
22,2,GoldenEye (1995),3.5319
22,3,Four Rooms (1995),3.5319
22,4,Get Shorty (1995),3.5319
22,5,Copycat (1995),3.5319
22,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
22,7,Twelve Monkeys (1995),3.5319
22,8,Babe (1995),3.5319
22,9,Dead Man Walking (1995),3.5319
22,10,Richard III (1995),3.5319
244,1,Toy Story (1995),3.5319
244,2,GoldenEye (1995),3.5319
244,3,Four Rooms (1995),3.5319
244,4,Get Shorty (1995),3.5319
244,5,Copycat (1995),3.5319
244,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
244,7,Twelve Monkeys (1995),3.5319
244,8,Babe (1995),3.5319
244,9,Dead Man Walking (1995),3.5319
244,10,Richard III (1995),3.5319
166,1,Toy Story (1995),3.5319
166,2,GoldenEye (1995),3.5319
166,3,Four Rooms (1995),3.5319
166,4,Get Shorty (1995),3.5319
166,5,Copycat (1995),3.5319
166,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
166,7,Twelve Monkeys (1995),3.5319
166,8,Babe (1995),3.5319
166,9,Dead Man Walking (1995),3.5319
166,10,Richard III (1995),3.5319
298,1,Toy Story (1995),3.5319
298,2,GoldenEye (1995),3.5319
298,3,Four Rooms (1995),3.5319
298,4,Get Shorty (1995),3.5319
298,5,Copycat (1995),3.5319
298,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
298,7,Twelve Monkeys (1995),3.5319
298,8,Babe (1995),3.5319
298,9,Dead Man Walking (1995),3.5319
298,10,Richard III (1995),3.5319
115,1,Toy Story (1995),3.5319
115,2,GoldenEye (1995),3.5319
115,3,Four Rooms (1995),3.5319
115,4,Get Shorty (1995),3.5319
115,5,Copycat (1995),3.5319
115,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
115,7,Twelve Monkeys (1995),3.5319
115,8,Babe (1995),3.5319
115,9,Dead Man Walking (1995),3.5319
115,10,Richard III (1995),3.5319
253,1,Toy Story (1995),3.5319
253,2,GoldenEye (1995),3.5319
253,3,Four Rooms (1995),3.5319
253,4,Get Shorty (1995),3.5319
253,5,Copycat (1995),3.5319
253,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
253,7,Twelve Monkeys (1995),3.5319
253,8,Babe (1995),3.5319
253,9,Dead Man Walking (1995),3.5319
253,10,Richard III (1995),3.5319
305,1,Toy Story (1995),3.5319
305,2,GoldenEye (1995),3.5319
305,3,Four Rooms (1995),3.5319
305,4,Get Shorty (1995),3.5319
305,5,Copycat (1995),3.5319
305,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
305,7,Twelve Monkeys (1995),3.5319
305,8,Babe (1995),3.5319
305,9,Dead Man Walking (1995),3.5319
305,10,Richard III (1995),3.5319
6,1,Toy Story (1995),3.5319
6,2,GoldenEye (1995),3.5319
6,3,Four Rooms (1995),3.5319
6,4,Get Shorty (1995),3.5319
6,5,Copycat (1995),3.5319
6,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.5319
6,7,Twelve Monkeys (1995),3.5319
